Video,ObjectID,C
2,1380,14.954
2,1386,14.954
2,1388,14.954
2,1395,-15.527
2,1415,22.574
2,1417,-3.3342
2,1420,14.954
2,1427,-3.3342
2,1432,8.4221
2,1433,7.7347
2,1439,3.5238
2,1441,24.097
2,1447,-3.3342
2,1451,9.2384
2,1456,22.574
2,1457,14.954
2,1463,-0.28608
2,1522,14.954
2,1536,3.5238
2,1554,14.954
2,1569,14.954
2,1634,14.954
2,1656,-7.9063
2,1664,14.954
2,1677,-7.9063
2,1681,3.5238
2,1701,14.954
2,1726,22.574
2,1734,14.954
2,1735,14.954
2,1742,3.5238
2,1744,3.5238
2,1780,14.954
2,1787,14.954
2,1798,3.5238
2,1802,-7.9063
2,1813,22.574
2,1817,-3.3342
2,1820,-3.3342
2,1822,14.954
2,1825,14.954
2,1830,3.5238
2,1833,14.954
2,1841,3.5238
2,1844,14.954
2,1847,14.954
2,1848,3.5238
2,1850,14.954
2,1870,-0.28608
2,1872,22.574
2,1882,14.954
2,1886,14.954
2,1894,-7.9063
2,1907,14.954
2,1950,9.2384
2,1981,3.5238
2,1982,14.954
2,1994,14.954
2,2000,3.5238
2,2005,3.5238
2,2006,-3.3342
2,2007,-7.9063
2,2010,14.954
2,2015,14.954
2,2019,9.2384
2,2030,22.574
2,2038,14.954
2,2041,14.954
2,2043,-3.3342
2,2062,14.954
2,2064,14.954
2,2065,14.954
2,2066,22.574
2,2070,-7.9063
2,2093,14.954
2,2097,14.954
2,2106,14.954
2,2143,14.954
2,2170,14.954
2,2176,-7.9063
2,2213,-7.9063
2,2260,-3.3342
2,2279,-15.527
2,2280,14.954
2,2284,22.574
2,2288,3.5238
2,2293,-7.9063
2,2318,14.954
2,2350,-7.9063
2,2352,-7.9063
2,2357,14.954
2,2370,14.954
2,2374,3.5238
2,2382,5.8098
2,2385,-7.9063
2,2394,14.954
2,2441,14.954
2,2448,-14.63
2,2521,-7.9063
2,2528,14.954
2,2531,14.954
2,2533,14.954
2,2539,14.954
2,2542,-7.9063
2,2549,14.954
2,2557,-7.9063
2,2565,14.954
2,2566,-1.2693
2,2585,14.954
2,2597,27.422
2,2598,14.954
2,2599,5.8098
2,2610,3.5238
2,2625,-7.9063
2,2635,14.954
2,2637,14.954
2,2645,14.954
2,2663,-9.6649
2,2725,14.954
2,2744,-7.9063
2,2771,14.954
2,2775,9.2384
2,2783,14.954
2,2840,-3.3342
2,2851,14.954
2,2856,14.954
2,2862,14.954
2,2865,3.5238
2,2883,14.954
2,2913,-3.3342
2,2932,5.8098
2,2955,14.954
2,2961,-21.623
2,2967,14.954
2,2968,-5.8281
2,2973,-7.9063
2,2975,-7.9063
2,2988,24.097
2,3063,3.5238
2,3077,14.954
2,3086,14.954
2,3091,-7.9063
2,3105,-7.9063
2,3109,14.954
2,3114,-15.527
2,3125,14.954
2,3128,14.954
2,3135,3.5238
2,3147,5.8098
2,3177,22.574
2,3252,5.8098
2,3281,-3.3342
2,3289,3.5238
2,3304,14.954
2,3307,14.954
2,3334,14.954
2,3336,14.954
2,3341,14.954
2,3351,14.954
2,3373,-7.9063
2,3433,14.954
2,3533,14.954
2,3538,14.954
2,3543,14.954
2,3546,14.954
2,3548,14.954
2,3554,14.954
2,3573,8.9897
2,3578,3.5238
2,3589,7.3338
2,3599,3.5238
2,3630,-3.3342
2,3639,14.954
2,3640,-3.3342
2,3665,-0.28608
2,3672,14.954
2,3675,14.954
2,3680,14.954
2,3687,14.954
2,3703,-3.3342
2,3715,14.954
2,3732,-21.623
2,3745,14.954
2,3757,14.954
2,3772,3.5238
2,3776,-19.337
2,3795,14.954
2,3804,14.954
2,3805,14.954
2,3806,-7.9063
2,3807,14.954
2,3809,14.954
2,3839,3.5238
2,3851,-3.3342
2,3886,14.954
2,3890,14.954
2,3900,24.097
2,3923,14.954
2,3947,14.954
2,3962,3.5238
2,3963,8.4221
2,3965,14.954
2,3983,3.5238
2,3990,14.954
2,3993,-0.28608
2,4253,14.954
2,4304,3.5238
2,4317,3.5238
2,4334,-7.9063
2,4387,-7.9063
2,4406,14.954
2,4408,14.954
2,4431,-7.9063
2,4453,-6.8176
2,4459,14.954
2,4470,14.954
2,4479,14.954
2,4481,-3.3342
2,4493,5.8098
2,4498,24.097
2,4503,-17.703
2,4513,14.954
2,4514,8.4221
2,4522,14.954
2,4560,-15.527
2,4584,-3.3342
2,4588,5.8098
2,4589,-7.9063
2,4615,-3.3342
2,4621,3.5238
2,4645,-7.9063
2,4658,-19.337
2,4667,-15.527
2,4678,14.954
2,4699,3.5238
2,4737,14.954
2,4744,14.954
2,4757,14.954
2,4800,14.954
2,4832,14.954
2,4851,-5.3661
2,4899,14.954
2,4906,14.954
2,4921,5.8098
2,4924,-7.9063
2,4926,14.954
2,4929,14.954
2,4934,14.954
2,4936,22.574
2,4941,14.954
2,4949,14.954
2,4953,14.954
2,4956,-0.28608
2,4959,24.097
2,4961,22.574
2,4980,14.954
2,4981,-7.9063
2,4997,14.954
2,5039,-15.527
2,5087,-13.622
2,5109,14.954
2,5132,14.954
2,5245,24.097
2,5247,14.954
2,5280,14.954
2,5286,-7.9063
2,5291,14.954
2,5368,14.954
2,5373,3.5238
2,5375,14.954
2,5377,3.5238
2,5386,22.574
2,5387,-7.9063
2,5390,14.954
2,5397,22.574
2,5398,-15.527
2,5401,-7.9063
2,5406,14.954
2,5409,14.954
2,5411,14.954
2,5416,14.954
2,5421,-3.3342
2,5436,3.5238
2,5438,14.954
2,5445,14.954
2,5449,14.954
2,5479,22.574
2,5480,14.954
2,5506,14.954
2,5530,14.954
2,5547,14.954
2,5569,14.954
2,5632,-11.172
2,5637,14.954
2,5660,-3.3342
2,5683,14.954
2,5697,14.954
2,5701,14.954
2,5705,14.954
2,5716,14.954
2,5743,14.954
2,5746,14.954
2,5757,-7.9063
2,5769,14.954
2,5771,-3.3342
2,5784,5.8098
2,5808,14.954
2,5820,14.954
2,5822,14.954
2,5825,24.097
2,5826,9.8732
2,5830,14.954
2,5833,14.954
2,5834,14.954
2,5839,3.5238
2,5840,14.954
2,5844,14.954
2,5845,3.5238
2,5854,14.954
2,5907,3.5238
2,5910,5.8098
2,5933,14.954
2,5938,14.954
2,5951,14.954
2,5965,14.954
2,5968,-3.3342
2,5987,-7.9063
2,6002,14.954
2,6008,14.954
2,6039,-7.9063
2,6043,14.954
2,6055,-13.622
2,6098,14.954
2,6119,14.954
2,6123,14.954
2,6131,14.954
2,6187,24.097
2,6218,14.954
2,6241,-3.3342
2,6243,8.4221
2,6260,-3.3342
2,6313,-3.3342
2,6315,-15.527
2,6316,14.954
2,6328,14.954
2,6330,14.954
2,6333,-3.3342
2,6343,14.954
2,6353,3.5238
2,6387,14.954
2,6389,-7.9063
2,6390,-7.9063
2,6421,9.2384
2,6427,14.954
2,6459,14.954
2,6470,14.954
2,6472,-7.9063
2,6475,14.954
2,6481,14.954
2,6502,-19.337
2,6513,-3.3342
2,6515,14.954
2,6572,14.954
2,6573,14.954
2,6580,14.954
2,6589,14.954
2,6599,14.954
2,6611,14.954
2,6616,14.954
2,6622,14.954
2,6623,-7.9063
2,6625,-7.9063
2,6700,14.954
2,6720,-7.9063
2,6724,-15.527
2,6739,14.954
